720,_106 年全國語文競賽-閩南語朗讀文章,為你朗讀,林美麗,
721,_106 年全國語文競賽-閩南語朗讀文章,粒積,白麗芬,
722,_106 年全國語文競賽-閩南語朗讀文章,傷痕,林吟徽,
723,_106 年全國語文競賽-閩南語朗讀文章,熱人騎鐵馬,紀春綢,
724,_106 年全國語文競賽-閩南語朗讀文章,考老師症候群,林淑美,
725,_106 年全國語文競賽-閩南語朗讀文章,寫予囝兒的一張批,柳青亮,
726,_106 年全國語文競賽-閩南語朗讀文章,迎接第二个人生,蔡宗禮,
727,_106 年全國語文競賽-閩南語朗讀文章,無奈的世代,老猴,
728,_106 年全國語文競賽-閩南語朗讀文章,有量就有福,陳昭蓉,
738,_106 年全國語文競賽-閩南語朗讀文章,來去看火金蛄,韓滿,
739,_106 年全國語文競賽-閩南語朗讀文章,阿母的祕密,黃文俊,
740,_106 年全國語文競賽-閩南語朗讀文章,蹛佇山頂的囡仔時陣,洪宿芬,
741,_106 年全國語文競賽-閩南語朗讀文章,人生的路家己行,蔡素珠,
742,_106 年全國語文競賽-閩南語朗讀文章,溫泉鄉的頭幫車,劉孟宜,
743,_106 年全國語文競賽-閩南語朗讀文章,觸纏,許嘉勇,
744,_106 年全國語文競賽-閩南語朗讀文章,釋迦,後山人,
745,_106 年全國語文競賽-閩南語朗讀文章,豬仔產婆,林淑期,
746,_106 年全國語文競賽-閩南語朗讀文章,紅豆情,洪媛麗,
747,_106 年全國語文競賽-閩南語朗讀文章,數念,楊雅秀,
811,_106 年全國語文競賽-閩南語朗讀文章,阿母,侯信男,
857,電子報,阿公再見,王秀容,
858,電子報,狗蟻怨的哀怨古,邱文錫,
859,電子報,麥片摻咖啡,藍春瑞,
860,電子報,關門開門,王秀容,
861,電子報,刣豬公無相請,邱文錫,
862,電子報,佈稻仔,藍春瑞,
863,電子報,未食五日節粽,王秀容,
864,電子報,鹼仔水佮鹼仔粿,藍春瑞,
865,電子報,馬偕牧師來臺灣宣教,陳憲國,
866,電子報,臺中縣白冷圳的本土味,臺灣閩南語我嘛會,
867,電子報,半屏山，真好看,臺灣閩南語我嘛會,
868,電子報,嘉義市中央噴水池,臺灣閩南語我嘛會,
869,電子報,臺東池上便當──深深數念的古早味,臺灣閩南語我嘛會,
870,電子報,宜蘭頭城搶孤,臺灣閩南語我嘛會,
871,電子報,鹿港八郊,臺灣閩南語我嘛會,
872,電子報,臺南縣北門鄉南鯤鯓的王爺祭,臺灣閩南語我嘛會,
873,電子報,一條街路一个門牌號──臺中市的電台街1號,臺灣閩南語我嘛會,
874,電子報,豬母落水的故事,臺灣閩南語我嘛會,
875,電子報,愛河偏名一牛車,臺灣閩南語我嘛會,
876,電子報,新埔紅柿若出頭,臺灣閩南語我嘛會,
877,電子報,嘉義太保的牛將軍廟,臺灣閩南語我嘛會,
878,電子報,普普仔認捌日月潭,臺灣閩南語我嘛會,
879,_106 年全國語文競賽-閩南語朗讀文章,阿公佮狗,楊月卿,
880,_106 年全國語文競賽-閩南語朗讀文章,練習離別,林淑美,
881,_106 年全國語文競賽-閩南語朗讀文章,阿嬸,駱寶雲,
882,_106 年全國語文競賽-閩南語朗讀文章,設使運命相替換,楊允言,
883,_106 年全國語文競賽-閩南語朗讀文章,沉底,林美麗,
884,_106 年全國語文競賽-閩南語朗讀文章,數念苦楝花,林滿足,
885,_106 年全國語文競賽-閩南語朗讀文章,媽媽，請你也保重,蔡連真,
886,_106 年全國語文競賽-閩南語朗讀文章,佮幸福約會,陳素年,
887,_106 年全國語文競賽-閩南語朗讀文章,我干焦賰勇敢,陳明芳,
888,_106 年全國語文競賽-閩南語朗讀文章,坐飛行機,陳昭蓉,
889,_106 年全國語文競賽-閩南語朗讀文章,故鄉情,許新源,
890,_106 年全國語文競賽-閩南語朗讀文章,來去小琉球行春,陳秋貴,
